# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
40ppm,84.47382716049383,48.93987654320988,138.0804938271605,48.96535869387163,61.225498722443405,79.21230693602166,114.80802469135803,208.64308641975308,156.72543209876542,38.32601939629033,43.72588176530035,74.14981111918507,84.63555555555556,162.12197530864196,89.50012345679012,51.403249837215164,43.75570155214493,43.381197212498606,69.74666666666667,39.44131781035319
50ppm,90.8030045351474,48.948554421768705,141.55839002267572,51.48929144812455,64.07556073682046,80.12413832913403,113.9406179138322,205.92006802721087,161.85558390022675,41.28854640782102,53.23650185872568,73.72040110906707,88.8670634920635,163.61918934240362,89.74234693877551,51.7564385030917,46.14793352857034,44.67110469298782,72.04152494331066,39.28180145231309
60ppm,92.18582128099173,48.735537190082646,137.4604855371901,52.00123369878192,62.640155228299655,77.8171844308149,114.13997933884298,203.77802169421489,156.9557076446281,42.15111150656934,53.602138323607626,72.48378078740679,87.82902892561984,163.10782541322314,91.69072830578513,51.259857994526264,44.86332977147813,42.88539752713597,71.86066632231405,39.28178928448557
70ppm,88.51135749053543,48.75946457544619,141.5050027041644,50.16942367275519,62.25423185986502,80.695736535022,113.56300703082748,206.56503515413738,160.80367766360195,40.52141505732732,49.914905574908545,74.67569594335993,87.1880746349378,163.46484586262844,88.96024878312602,51.38410298434251,45.16299107193994,44.341953089958764,71.2375608436993,39.34543803971772
80ppm,84.4713326446281,50.14643595041322,143.02401859504133,47.91235169256109,62.25000201387389,81.22728348404864,112.33458161157024,203.37629132231405,162.40986570247935,40.73412092866556,52.8329117690647,74.90299088263286,86.72998450413223,162.78796487603304,87.671875,51.323164361748645,44.770633081974054,45.05770123285623,71.01188016528926,39.156401445369426
90ppm,82.8662962962963,49.06037037037037,138.39604938271606,48.37745138318018,61.601676944154384,80.9318227584793,113.60098765432099,208.72518518518518,157.54481481481483,38.913890998007204,44.7916111279204,75.43667177455866,84.35938271604938,161.88728395061727,89.11172839506173,51.81201161668121,44.08887501434441,44.32050202199639,69.37061728395062,39.69484434432506
100ppm,109.47061728395062,51.71037037037037,155.37864197530865,63.34589934491807,60.61484409411761,89.77725914664674,117.70641975308642,207.89666666666668,174.0116049382716,39.30839112845701,44.65513188541384,81.37302986114133,97.8416049382716,168.87543209876543,87.92888888888889,53.00866896158112,47.38611990215269,44.282196963353506,80.81604938271605,41.72070261114896
0ppm,121.3038128718226,93.00459707950243,179.49743104380747,69.45132096150999,58.082259978781295,101.84813756187619,112.30502974580854,167.15062195781505,198.56706327744726,39.33988134944083,52.227746013420614,89.77972091628578,122.3788534342888,159.34789075175772,89.65562466197945,57.98065786457136,43.19734401121837,43.633760633999664,111.35140616549486,50.81857210580486
10ppm,118.05707644628099,93.00051652892562,177.69085743801654,68.09154703341117,58.28610592895443,101.47941176147448,111.00348657024793,164.52698863636363,196.94072830578511,40.196590292066944,54.02409495459497,89.47437317378352,121.13830061983471,158.317923553719,89.83793904958678,58.02296861044172,42.502283713878036,43.667811841222566,110.16438533057851,50.833572917127725
20ppm,76.06611681990265,52.83409951325041,135.96322336398052,43.91729571304185,61.78334001422207,77.89215582449857,111.47728501892915,201.3098972417523,155.43185505678744,39.18181466329379,49.47524212121861,73.11944917286353,83.2994862087615,158.87560843699296,89.67847485127096,51.62828362271944,42.874947962166935,44.160043470518154,69.27190373174689,39.53690863760214
30ppm,77.64683612763656,53.74580854515955,129.03785830178475,45.1462103063487,61.78753363868001,73.93127811106895,112.15251487290428,197.71795565170362,148.81773931855057,40.015255276501904,50.477039711731194,70.55767418002921,82.70375878853434,157.02650081124932,93.39142779881017,51.763839925027725,42.0451558838091,42.275097378627336,69.49053542455381,39.66900699460861
