# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
40,3,158.4096296,158.0412346,184.1124691,6.537497245,7.512937218,6.962266381,120.3776543,36.72049383,184.1124691,1.945674387,2.157250136,6.962266381,168.1876543,133.3051852,114.7491358,7.006264969,1.049372665,0.563087164,161.0848148,7.103752549
40,4,162.2625926,154.965679,178.4444444,7.132575813,7.018533303,6.409387405,129.3944444,33.63814815,178.4444444,2.304604891,2.771156825,6.409387405,166.5212346,135.148642,116.8228395,6.701532418,0.999446456,0.666923533,159.8320988,6.932742624
40,5,181.4420988,176.7596296,197.1571605,6.104075185,6.564842752,5.82416141,127.0637037,26.41888889,197.1571605,1.906814579,2.276604305,5.82416141,186.4676543,133.7798765,118.3597531,6.036437972,0.696066539,0.788629027,180.5467901,6.33591825
40,6,171.2645679,171.6567901,195.1554321,5.039474191,5.316430118,4.721807969,119.6455556,31.47246914,195.1554321,1.464787938,2.274519638,4.721807969,180.8745679,132.6562963,116.065679,4.876835659,0.620148219,0.746932721,174.2888889,5.113767426
40,7,155.0428395,151.8435802,176.6581481,6.459963447,6.788305268,6.367514121,123.8893827,35.89567901,176.6581481,1.271476585,2.987026449,6.367514121,162.74,134.2633333,115.6225926,6.442111072,0.79948363,1.013322707,155.5018519,6.602552557
40,8,160.9201235,161.5361728,185.5139506,7.774962347,8.154180942,7.505581656,119.41,34.12851852,185.5139506,1.61235163,3.257568817,7.505581656,171.2314815,132.6739506,115.761358,7.729844138,0.702895562,0.806279756,164.1287654,7.95563856
40,9,153.7912346,152.6895062,179.5009877,5.538350889,6.20109616,5.703853929,121.1096296,38.48814815,179.5009877,1.991855295,2.26066368,5.703853929,163.2544444,133.8976543,114.2071605,5.742870943,1.093310492,0.802956319,156.0071605,5.882444951
50,2,176.0058025,174.7962963,192.5465432,7.437116852,7.863903225,6.62154595,121.9467901,23.95604938,192.5465432,2.655022414,2.725969158,6.62154595,183.6716049,131.777284,119.2304938,7.259395522,0.854921861,0.760008774,177.0541975,7.650637085
50,3,159.6349383,161.018642,182.748642,6.822742583,7.134511715,6.822531979,118.2777778,32.33283951,182.748642,1.719998564,2.440569269,6.822531979,170.3634568,132.0393827,116.7606173,6.731994579,0.804342912,0.937874989,163.1290123,6.955255426
50,4,189.5379012,186.3814815,203.5851852,5.220772427,4.880538604,4.560325717,125.4565432,21.57,203.5851852,1.788982165,1.297828671,4.560325717,194.9518519,132.4630864,119.8311111,4.527681965,0.614632565,0.430182275,189.2479012,4.965811688
50,5,187.7980247,187.6645679,205.237037,5.570840843,5.344313131,4.495496909,120.1069136,22.74567901,205.237037,3.006441907,2.118819225,4.495496909,195.5517284,131.3517284,119.2420988,4.956045389,0.827828172,0.66576275,189.722963,5.232216546
50,6,169.8035802,176.2074074,198.6477778,5.451497656,5.852651141,5.089933299,113.4485185,37.06481481,198.6477778,1.511173701,2.044232242,5.089933299,183.9430864,130.2909877,115.7617284,5.393557689,0.982635791,0.88625553,176.9961728,5.610471706
50,7,171.3945679,176.0340741,196.0374074,5.742896428,5.792977822,5.109295155,114.4288889,32.09950617,196.0374074,1.701634653,2.66457784,5.109295155,183.9144444,130.297037,117.2092593,5.412465151,0.853990552,0.823745253,177.0298765,5.620473706
50,8,173.9907407,175.8517284,198.6418519,5.822967568,5.879163099,5.360302325,117.8738272,31.67506173,198.6418519,2.231122492,2.699034177,5.360302325,184.4858025,132.0618519,116.1812346,5.424718998,0.821171417,0.617236739,177.9875309,5.705896242
50,9,158.8548148,166.9928395,190.8618519,5.741910705,6.108965125,5.735383055,112.3416049,42.77345679,190.8618519,1.695301391,2.797558309,5.735383055,175.0019753,130.2290123,114.7149383,5.660584627,0.83741092,0.646623946,167.2308642,5.833389248
60,2,181.7545679,181.5980247,202.2349383,5.816452622,5.698962093,5.011984556,120.4604938,26.8445679,202.2349383,2.079956019,1.913090415,5.011984556,190.1011111,132.3324691,117.7346914,5.330024321,0.627523116,0.717579241,183.9865432,5.584430884
60,3,161.8555556,166.5041975,189.3851852,5.664956169,5.989629487,5.222012079,114.9251852,37.10814815,189.3851852,1.553596474,2.369123978,5.222012079,175.0261728,131.1567901,115.744321,5.568767084,0.885889143,0.689738613,167.8676543,5.709577458
60,4,176.561358,177.9998765,196.5593827,5.89922055,5.641392437,5.322331673,117.7461728,25.96555556,196.5593827,1.074400858,2.121826316,5.322331673,186.2341975,131.1603704,118.6083951,5.329497779,0.455782991,0.519476129,179.7904938,5.737654143
60,5,184.2817284,187.944321,204.9818519,4.714976085,4.968367702,4.262444847,114.9091358,25.80283951,204.9818519,2.563059609,2.060448671,4.262444847,195.052716,130.0307407,118.9187654,4.450336237,0.903719718,0.541437006,188.8179012,4.752496476
60,6,169.8504938,179.8851852,198.201358,7.127168919,5.627481315,4.981528659,109.6201235,36.57691358,198.201358,1.650444006,4.489123795,4.981528659,186.4098765,128.0793827,117.5911111,5.507270278,0.741366516,0.790823918,178.9308642,5.952728226
60,7,163.351358,164.4718519,187.2404938,6.501908885,6.483298412,5.839536575,118.7466667,32.5991358,187.2404938,1.516255948,2.832295975,5.839536575,173.8424691,132.2939506,116.2896296,6.125568662,0.701242599,0.793066317,166.7944444,6.363851908
60,8,177.6079012,183.5619753,200.6837037,5.34166819,5.397254542,4.855029833,112.5130864,29.34765432,200.6837037,1.600756489,2.435209967,4.855029833,190.5416049,129.2737037,118.5712346,4.985497228,0.507985478,0.658645979,183.8216049,5.261591778
60,9,163.9207407,173.8911111,195.308642,6.652309685,6.140836393,5.618865874,110.4188889,41.03839506,195.308642,1.577688182,3.450658537,5.618865874,181.0088889,128.904321,115.802716,5.858173145,0.908726471,0.975422684,173.2925926,6.215994458
70,2,166.68,167.4708642,186.5625926,6.440329721,6.595847215,5.882819362,118.7734568,27.62716049,186.5625926,2.066765028,2.606876583,5.882819362,176.5207407,131.5446914,118.352716,6.217255116,0.755949385,0.766528993,169.4928395,6.497735453
70,3,164.1501235,160.8316049,185.1096296,5.286991372,5.327639427,4.952249132,124.1809877,33.47518519,185.1096296,0.945337623,2.301583251,4.952249132,171.3959259,134.0793827,116.1581481,5.042403718,0.583090628,0.747209808,164.4998765,5.273542159
70,4,153.8574074,152.0555556,170.8941975,6.944242713,6.756788996,6.280386157,122.9292593,28.39851852,170.8941975,2.3167257,2.508592203,6.280386157,162.2580247,132.4022222,118.4853086,6.478499373,0.714536887,0.899880083,154.6104938,6.706180198
70,5,190.0246914,186.988642,203.4020988,4.674821733,4.800089442,4.33551746,125.362963,20.60061728,203.4020988,1.838843198,1.712301062,4.33551746,195.4412346,132.1728395,120.1532099,4.376946165,0.83296471,0.458239592,189.7087654,4.664231873
70,6,174.4804938,175.3735802,194.9764198,5.574898748,5.534666798,4.777990902,118.8037037,27.10160494,194.9764198,1.802532131,2.38662371,4.777990902,183.9653086,131.6922222,118.1359259,5.104044048,0.721256619,0.808087634,177.394321,5.446921645
70,7,165.4285185,162.4222222,182.9116049,6.155130473,6.561804931,5.89980863,124.3816049,28.60506173,182.9116049,1.706178284,2.74360294,5.89980863,172.5307407,133.1060494,117.998642,6.141171979,0.689238583,0.888957293,165.5265432,6.299160175
70,8,176.614321,178.6208642,193.7146914,5.251562246,5.305048538,5.204315063,116.0691358,22.53802469,193.7146914,0.945638719,0.961434653,5.204315063,186.4802469,130.0460494,119.972716,4.976163423,0.249894689,0.171762917,179.661358,5.264346712
70,9,160.552963,164.5538272,183.0477778,5.904845038,5.865230583,5.348525931,114.8811111,31.36604938,183.0477778,1.908541878,2.999787309,5.348525931,172.995679,130.2377778,118.1169136,5.495619454,0.801698814,0.796309608,165.5430864,5.744347333
80,2,163.872963,165.2062963,184.527284,6.573330693,6.612859516,6.11223192,118.1928395,28.61975309,184.527284,1.358138918,2.264618887,6.11223192,174.2416049,131.5204938,118.1551852,6.280070173,0.583687514,0.6796815,167.0438272,6.568400235
80,3,160.8323457,163.1161728,186.3598765,6.256575064,6.181290781,5.369414524,117.4808642,34.98432099,186.3598765,1.922769156,3.523063495,5.369414524,172.3488889,132.0071605,115.8895062,5.798893466,0.713847573,0.884440817,165.1367901,6.038870352
80,4,164.5566667,165.6571605,181.7160494,6.047313351,6.043902495,5.689246013,117.824321,24.46283951,181.7160494,2.509266992,1.824382686,5.689246013,174.4071605,130.6128395,119.6919753,5.688402591,0.728253847,0.509959862,167.1392593,5.933218013
80,5,182.4854321,183.957284,200.5950617,4.853982468,5.092177737,4.459028883,117.08,23.02209877,200.5950617,1.023197602,1.558451444,4.459028883,191.6280247,130.5409877,119.4501235,4.676051917,0.506183017,0.503426515,185.4953086,4.845474174
80,6,176.2582716,180.4735802,200.8666667,5.31798365,5.206256281,4.653420354,114.8728395,31.29296296,200.8666667,1.408046747,2.30976988,4.653420354,188.2188889,130.5345679,116.9951852,4.792366744,0.689007247,0.654406924,181.6497531,5.110668453
80,7,157.677284,161.5651852,182.448642,6.406674955,6.476306124,5.83046104,115.2888889,34.66679012,182.448642,1.717951695,2.943787485,5.83046104,170.3588889,130.9166667,116.8018519,6.03690001,0.827964185,0.828725946,162.8461728,6.34593611
